AudioName	Speaker	Source	Label	AudioPath
Anthony_Blinken_01937	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01937.wav
Anthony_Blinken_02027	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_02027.wav
Anthony_Blinken_00782	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_00782.wav
Anthony_Blinken_00033	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_00033.wav
Anthony_Blinken_01714	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01714.wav
Anthony_Blinken_01746	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01746.wav
Anthony_Blinken_00281	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_00281.wav
Anthony_Blinken_01476	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01476.wav
Anthony_Blinken_00358	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_00358.wav
Anthony_Blinken_01790	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01790.wav
Anthony_Blinken_00207	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_00207.wav
Anthony_Blinken_01109	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01109.wav
Anthony_Blinken_00706	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_00706.wav
Anthony_Blinken_01896	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01896.wav
Anthony_Blinken_01443	Anthony_Blinken	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Anthony_Blinken/-/Anthony_Blinken_01443.wav
