AudioName	Speaker	Source	Label	AudioPath
Barack_Obama_14683	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_14683.wav
Barack_Obama_14049	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_14049.wav
Barack_Obama_19681	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_19681.wav
Barack_Obama_13444	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_13444.wav
Barack_Obama_15985	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_15985.wav
Barack_Obama_20652	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_20652.wav
Barack_Obama_13247	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_13247.wav
Barack_Obama_10524	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_10524.wav
Barack_Obama_13261	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_13261.wav
Barack_Obama_16304	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_16304.wav
Barack_Obama_20946	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_20946.wav
Barack_Obama_03702	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_03702.wav
Barack_Obama_17934	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_17934.wav
Barack_Obama_10133	Barack_Obama	-	bonafide	/nfs/turbo/umd-hafiz/issf_server_data/famousfigures/Barack_Obama/-/Barack_Obama_10133.wav
